filename,folder,words,text
g4ela-7-3-welcome.mp3,guide/marilla,68,"Marilla Cuthbert here, and I’ll be guiding your lesson today. Matthew has driven over to Bright River to fetch the boy we sent for, and I’ve everything ready for him. Today’s question is how a writer shows you what somebody feels without saying it outright. By the end, you’ll be able to point to the very words that prove it. We’ll put some awkward plurals in order, too."
g4ela-7-3-wgrd.mp3,guide/marilla,67,"A word can carry an opinion the way a basket carries eggs. When somebody calls a thing plain, or useless, that’s a judgment, not a fact. You’ll meet two of us today, Matthew and me, and we don’t always choose the same words about things. As you read, catch one word that sounds like me and one that sounds like Matthew. Then ask who’s doing the judging."
g4ela-7-3-dol.mp3,guide/marilla,65,"Somebody is talking in this sentence, and saying two things at once, which is one more than most people need. Each part wants its proper ending. Two words have been squeezed short and need their marks. One little word is standing small when it ought to stand tall. Study the model before you start, and then do it neatly. I’ve no patience for slapdash work."
g4ela-7-3-guide1.mp3,guide/marilla,65,"Now then, word study. I’ll tell you what I tell Matthew: a job done properly the first time saves doing it twice. Today’s word parts both mean with, or together. That’s how Matthew and I have run Green Gables all these years, the two of us together. Soon there’ll be a boy to lend a hand as well. Work steadily, and check as you go."
g4ela-7-3-morphology.mp3,guide/marilla,67,"Every word you build today starts with a part that means together. Here’s a sensible way to choose its spelling. Say the word aloud and mind your lips. If they press shut for the next sound, that part ends in an m. If they don’t, it ends in an n. There’s no guessing needed. Your own mouth will tell you, if you’ll only pay attention to it."
g4ela-7-3-vocabulary.mp3,guide/marilla,73,"A word is only worth knowing if you can put it to use. Read each sentence right through to the end before you choose. The words around the gap will tell you what belongs there. Placid is a word I approve of. It means calm and steady, which is how a sensible person ought to be. Imagine, I’ve less use for. But you’ll need it this week, so learn it all the same."
g4ela-7-3-grammar.mp3,guide/marilla,74,"No word bank today. Every plural has to come out of your own head. These are the words that won’t follow the ordinary rule, and there’s no reasoning with them. One mouse, two mice. One tooth, a whole row of teeth. You simply have to know them, the way I know where every dish in my pantry goes. Say each one aloud before you type it. If the ordinary ending sounds silly, it’s wrong."
g4ela-7-3-spelling.mp3,guide/marilla,72,"Look at the last letter of a word before you do anything to it. That’s plain good sense. If the word ends in a hissing sound, it needs a little extra to make it more than one, or nobody could say it. If it ends in a y with a consonant in front, the y has to change. Most words just take their letter and behave themselves. I wish more people did."
g4ela-7-3-guide2.mp3,guide/marilla,64,"Matthew ought to be back from the station by now. I’ve been listening for the buggy. It’ll be a relief to have a sturdy boy about the place, with Matthew getting on in years. You have two chapters today. As you read, don’t just take anybody’s word for how they feel. Watch what they do, and what they say, and what they leave unsaid."
g4ela-7-3-read.mp3,guide/marilla,66,"There are two places to stop and think, one after each chapter. Stop both times, even if you’d rather keep going. I’ve never held with rushing a job. The first stop asks about Matthew and me, so mind you’re fair to both of us. The second takes you to a window at Green Gables. Keep your book open beside you. You’ll want it for the questions."
g4ela-7-3-guide3.mp3,guide/marilla,69,"Well. A girl. I sent word for a boy, plainly and properly, and Mrs. Spencer brought a girl. What use is a girl on a farm? That’s what I said to Matthew, and he said perhaps we could be some use to her. I don’t know what’s come over him. Now it’s your turn. Say what you noticed, and point to the words in the book that show it."
g4ela-7-3-chapter.mp3,guide/marilla,65,"These questions are about how that child took the news. Now, she never once said she was sad. She didn’t need to. When the second question asks for one sentence from her, choose one where she doesn’t name the feeling, but you know it anyway. That’s your proof. And be fair to me in the first question. I had my reasons for wanting a boy."
g4ela-7-3-wordconn.mp3,guide/marilla,72,"Your spelling answer is saved, so here’s how it fits. All week, the last letter of a word has decided what happens to it. And one small fact has decided a great deal at Green Gables. She’s a girl, not a boy. One detail at the end of a word, one detail about a person, and everything after it has to change. Whether that’s for good or ill, I can’t say yet."
g4ela-7-3-workshop.mp3,guide/marilla,68,"You’re writing about disappointment, and that’s a hard feeling to put on paper. I saw plenty of it in my own kitchen, and not once did that child just tell me she was disappointed. She couldn’t eat. She hid her face in her arms. Let your character do something like that, or say one thing, or go very quiet. Then stop, and let the reader feel the rest."
